STOXX Europe 600 Sector,Portfolio weight over/underweight - (% points),Portfolio position (%),Strength of over/underweight in % of sector weight
Automobiles & Parts,-1.0,1.1,-49
Banks,0.5,10.8,5
Basic Resources,-1.0,1.2,-46
Chemicals,0.0,2.4,0
Construction & Materials,0.0,3.6,0
Consumer Products & Services,-0.5,5.7,-8
Energy,-1.0,3.3,-23
Financial Services,0.0,4.5,0
"Food, Beverage & Tobacco",0.0,6.1,0
Health Care,1.0,18.1,6
Industrial Goods & Services,0.0,15.0,0
Insurance,1.0,7.0,17
Media,0.0,1.6,0
"Personal Care, Drug & Grocery Stores",1.0,3.4,41
Real Estate,-0.5,1.0,-33
Retail,0.5,1.3,61
Technology,0.0,5.9,0
Telecommunications,0.5,3.4,17
Travel & Leisure,-0.5,0.4,-57
Utilities,0.0,4.2,0
