,Name,Current,1M,3M,6M,12M,YTD,QTD
1,MSCI World (USD) ,3.707,0.4,6.6,13.2,36.4,18.9,-0.4
2,MSCI EM (USD) ,1.135,-0.1,6.2,12.3,26.7,13.6,-3.1
3,S&P 500 ,5.81,1.6,8.0,15.9,40.8,23.2,0.9
4,Nasdaq Composite ,18.415,1.9,7.4,18.4,44.8,23.4,1.3
5,Euro STOXX 50 ,4.93,0.3,2.7,1.8,25.1,12.4,-1.3
6,DAX ,19.427,2.7,6.2,8.4,30.5,16.0,0.5
7,MSCI Italy ,9083.0,2.3,3.6,5.3,34.7,21.4,1.9
10,1-3Y US ,407.0,-0.6,1.6,3.7,6.1,3.6,-0.5
11,7-10Y US ,420.0,-2.8,1.5,6.2,10.4,1.2,-2.8
12,1-3Y Germany ,210.0,0.2,1.5,2.8,4.2,2.4,0.1
13,7-10Y Germany ,228.0,-0.3,2.0,4.6,7.7,0.5,-0.8
14,1-3Y Italy ,258.0,0.3,1.8,3.3,5.9,3.2,0.2
15,7-10Y Italy ,349.0,0.9,3.9,6.8,16.3,5.7,0.2
18,iBoxx Non-Financials (EUR) ,88.0,0.6,2.3,4.5,9.6,3.4,0.3
19,iBoxx Non-Financials Sen (EUR) ,84.0,0.6,2.3,4.5,9.5,3.3,0.3
20,iBoxx Non-Financials Sub (EUR) ,195.0,0.8,2.7,4.7,13.2,6.6,0.7
21,iBoxx Financials (EUR) ,99.0,0.7,2.6,5.1,10.8,5.1,0.4
22,     iBoxx Financials Sen (EUR) ,89.0,0.7,2.5,4.9,10.4,4.8,0.4
23,     iBoxx Financials Sub (EUR) ,156.0,0.8,3.1,5.8,13.5,6.7,0.6
24,iBoxx High Yield NFI (EUR) ,300.0,0.7,2.5,4.6,12.3,5.6,0.6
25,EM hard currency* (USD) ,232.0,-1.1,3.3,7.2,17.3,6.7,-1.4
29,"Oil (Brent, USD bbl) ",746.0,1.5,-9.4,-16.2,-17.2,-3.2,3.9
30,Gold (USD oz) ,2.719,2.3,15.0,16.6,37.3,31.8,3.2
31,Bloomberg Commodity Index ,99.0,-0.9,2.5,-3.7,-5.5,0.6,-1.1
34,EUR-USD ,108.0,-2.8,-0.2,0.9,2.4,-1.9,-2.8
35,EUR-GBP ,83.0,0.2,1.2,2.8,4.6,3.9,-0.2
36,EUR-CHF ,94.0,0.9,1.9,4.3,1.0,-1.0,0.4
37,EUR-JPY ,16445.0,-2.0,1.5,1.6,-3.5,-5.3,-2.7
38,EUR-NOK ,1183.0,-0.5,1.2,-0.6,0.0,-5.2,-0.8
39,EUR-SEK ,1145.0,-0.9,2.6,2.0,2.9,-2.7,-1.2
40,EUR TWI ,9720.0,1.0,3.0,2.1,0.2,0.4,0.0
41,EUR-PLN ,435.0,-1.9,-1.6,-0.9,2.8,-0.2,-1.6
42,EUR-HUF ,40402.0,-2.2,-2.9,-2.8,-4.8,-5.1,-1.7
43,EUR-CZK ,2524.0,-0.3,0.5,-0.4,-2.1,-2.1,-0.1
44,EUR-RON ,497.0,0.0,-0.1,0.1,-0.2,0.0,0.1
45,EUR-TRY ,3717.0,2.3,-3.5,-5.9,-20.0,-12.5,2.5
46,EUR-RUB ,10485.0,-2.0,-12.1,-5.5,-5.5,-4.4,-1.2
0,average,NaN,0.14324324324324325,1.9972972972972975,3.74054054054054,10.232432432432432,4.886486486486486,-0.14054054054054055
