Date 26 oct - 01 Nov 2024,Time (CET),Country,Indicator/Event,Period,UniCredit estimates,Consensus (Bloomberg),Previous
"Mon, 28 Oct ",15:30 ,US ,Dallas Fed Manuf. Activity (index) ,Oct ,Nan,-9.0 ,-9.0 
"Tue, 29 Oct         ",08:00 ,GE ,GfK Consumer Confidence ,Nov ,-18 .0 ,-20 .5 ,-21.2 
Nan,10:30 ,UK ,Mortgage Approvals (thousands) ,Sep ,Nan,Nan,64.9 
Nan,14:00 ,US ,S&P/Case-Shiller Home Price Index (% mom) ,Aug ,Nan,Nan,0.3 
Nan,15:00 ,US ,JOLTS Job Openings (thousands) ,Sep ,800 0 ,7900 ,8040 
Nan,15:00 ,US ,Conference Board Consumer Confidence ,Oct ,Nan,98 .8 ,98.7 
" Wed, 30 Oct                                    ",07:30 ,FR ,Household Consumption (% mom) ,Sep ,0.1 ,Nan,0.2 
Nan,07:30 ,FR ,Real GDP (% qoq) ,3Q ,0.4 ,0.2 ,0.2 
Nan,08:30 ,HU ,Real GDP (% yoy) ,3Q ,0.7 ,0. 6 ,1.5 
Nan,09:00 ,SP ,Harmonized CPI (% yoy) ,Oct ,1.6 ,Nan,1.7 
Nan,09:00 ,SP ,Real GDP (% qoq) ,3Q ,0.8 ,0.6 ,0.8 
Nan,09:00 ,CZ ,Real GDP (% qoq) ,3Q ,0.5 ,0.5 ,0.4 
Nan,09:00 ,SZ ,KOF Leading Indicator ,Oct ,106.0 ,105.0 ,105.5 
Nan,09:55 ,GE ,Unemployment Rate (%) ,Oct ,6.0 ,6.1 ,6.0 
Nan,09:55 ,GE ,"Unemployment Change (thousands, sa) ",Oct ,10 ,15 ,17 
Nan,10:00 ,IT ,Real GDP (% qoq) ,3Q ,0.1 ,0.3 ,0.2 
Nan,10:00 ,GE ,Real GDP (% qoq) ,3Q ,0.0 ,-0 .1 ,-0.1 
Nan,10:30 ,PO ,Real GDP (% qoq) ,3Q ,0.2 ,Nan,0.1 
Nan,11:00 ,EMU ,European Commission Economic Sentiment (index) ,Oct ,95.5 ,96.3 ,96.2 
Nan,11:00 ,EMU ,Real GDP (% qoq) ,3Q ,0.2 ,0.2 ,0.2 
Nan,13:15 ,US ,ADP Employment Index (change thousands mom) ,Oct ,100 ,98 ,143 
Nan,13:30 ,US ,Real GDP (% qoq annualized) ,3Q ,2.8 ,3.0 ,3.0 
Nan,13:30 ,UK ,UK Autumn Budget ,Nan,Nan,Nan,Nan
Nan,14:00 ,GE ,"Consumer Price Index, CPI (% yoy) ",Oct ,1. 8 ,1. 9 ,1.6 
Nan,15:00 ,US ,Pending Home Sales (% mom) ,Sep ,Nan,Nan,0.6 
"Thu, 31 Oct                              ",Nan,JP ,BoJ announces Key Rate (%) ,Oct ,Nan,0.25 ,0.25 
Nan,00:50 ,JP ,Industrial Production (% mom) ,Sep ,Nan,0.8 ,-3.3 
Nan,02:30 ,CH ,Non-manufacturing PMI (index) ,Oct ,Nan,50.5 ,50.0 
Nan,02:30 ,CH ,Manufacturing PMI (index) ,Oct ,Nan,50.1 ,49.8 
Nan,08:45 ,FR ,"Consumer Price Index, CPI (% yoy) ",Oct ,1.0 ,1.1 ,1.1 
Nan,10:00 ,PL ,"Consumer Price Index, CPI (% yoy) ",Oct ,5.0 ,5.0 ,4.9 
Nan,10:00 ,IT ,Unemployment rate (%) ,Sep ,6.1 ,6.2 ,6.2 
Nan,11:00 ,IT ,"Consumer Price Index, CPI (% yoy) ",Oct ,0.8 ,0.9 ,0.7 
Nan,11:00 ,EMU ,Core CPI (% yoy) ,Oct ,2.6 ,2.6 ,2.7 
Nan,11:00 ,EMU ,"Consumer price index, CPI (% yoy) ",Oct ,1.9 ,1.9 ,1.7 
Nan,11:00 ,EMU ,Unemployment Rate (%) ,Sep ,6.5 ,6.4 ,6.4 
Nan,13:30 ,US ,PCE Core Inflation (% yoy) ,Sep ,2.6 ,2.6 ,2.7 
Nan,13:30 ,US ,PCE Core Inflation (% mom) ,Sep ,0.3 ,0.3 ,0.1 
Nan,13:30 ,US ,Personal Expenditure (% mom) ,Sep ,0.4 ,0.4 ,0.2 
Nan,13:30 ,US ,Personal Income (% mom) ,Sep ,0.3 ,0.4 ,0.2 
Nan,13:30 ,US ,Employment Cost Index (% qoq) ,3Q ,0.9 ,0.9 ,0.9 
"Fri, 01 Nov           ",08:30 ,SZ ,"Consumer Price Index, CPI (% yoy) ",Oct ,0.8 ,0.8 ,0.8 
Nan,09:30 ,SZ ,Manufacturing PMI (index) ,Oct ,49.5 ,49.5 ,49.9 
Nan,13:30 ,US ,Non-farm Payrolls (change thousands mom) ,Oct ,100 ,120 ,254 
Nan,13:30 ,US ,Unemployment Rate (%) ,Oct ,4.2 ,4.1 ,4.1 
Nan,13:30 ,US ,Average Hourly Earnings (% mom) ,Oct ,0. 3 ,0.3 ,0.4 
Nan,15:00 ,US ,Construction Spending (% mom) ,Sep ,Nan,0.0 ,-0.1 
Nan,15:00 ,US ,ISM Manufacturing Index ,Oct ,47.5 ,47.6 ,47.2 
