,Real G,DP (% yoy),,Consumer,prices (% yoy),,Budget,balance (% of GDP,)
,2023,2024,2025,2023,2024,2025,2023,2024,2025
Industrialized countries,,,,,,,,,
US,2.9,2.6,1.3,4.1,2.8,1.8,-8.8,-7.4,-7.4
Euro Area,0.5,0.7,1.1,5.4,2.4,1.8,-3.6,-3.0,-2.8
Germany,-0.3*,0.0*,1.0*,5 . 9,2 . 2,1.5,-2.4,-2.0,-2.0
France,1.1,1.1,1.2,4.9,2.0,1.3,-5.5,-5.8,-5.3
Italy,1.0,0.8,1.1,5.7,1.0,1.8,-7.2,-4.0,-3.5
Spain,2.7,2.7,1.6,3.4,2.9,1.6,-3.6,-3.1,-3.0
Austria,-1.0,-0.5,1.0,7.8,3.1,2.2,-2.6,-3.2,-3.0
Greece,2.0,2.3,1.7,3.5,2.6,1.8,-1.6,-1.1,-1.0
Portugal,2.5,1.8,1.5,4.3,2.2,1.6,1.2,0.5,0.1
UK,0.3,0.9,0.9,7.3,2.5,1.9,-4.9,-4.5,-3.5
Switzerland,0.7,1.4,1.3,2.1,1.1,0.5,0.6,0.5,0.3
Sweden,-0.1,0.7,1.6,6.0,2.0,1.5,-0.3,-0.5,-0.3
Norway **,0.5,0.6,1.0,5.5,3.2,2.1,14.9,14.0,12.1
Japan,1.7,0.1,1.0,3.2,2.4,1.8,-5.2,-4.3,-3.5
Developing countries,,,,,,,,,
Central & Eastern Europe,,,,,,,,,
Poland,0.2,3.3,3.5,6.2,5.0,4.2,-5.1,-5.7,-5.5
Czechia,-0.1,1,2.6,6.9,3.0,2.7,-3.5,-2.8,-2.6
Hungary,-0.9,1.2,2.5,5.5,4.3,3.7,-6.7,-4.9,-4.3
Turkey,5.1,3.0,2.8,64.8,44.0,26.0,-6.4,-5.9,-4.5
Emerging Asia,,,,,,,,,
China,5.2,4.8,4.5,0.2,0.6,1.6,-7.1,-7.4,-7.6
