Real GDP (% qoq sa) ,3Q23 ,4Q23 ,1Q24 ,2Q24 ,3Q24 ,4Q24 ,1Q25 ,2Q25 ,3Q25 ,4Q25 
US(non-annualized),1.1,0.8,0.4,0.7,0.7,0.2,0.2,0.3,0.4,0.4
EuroArea,0.0,0.1,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4
Germany,0.2,-0.4,0.2,-0.1,0.0,0.2,0.3,0.3,0.4,0.4
France,0.1,0.4,0.3,0.2,0.4,0.1,0.3,0.3,0.4,0.4
Italy,0.2,0.0,0.3,0.2,0.1,0.2,0.3,0.3,0.3,0.3
Spain,0.7,0.7,0.9,0.8,0.8,0.4,0.4,0.4,0.5,0.5
Austria,-0.8,-0.5,0.2,0.0,0.0,0.2,0.3,0.3,0.4,0.4
UK,-0.1,-0.3,0.7,0.5,0.3,0.1,0.1,0.3,0.3,0.3
Switzerland,0.2,0.3,0.5,0.7,0.2,0.2,0.3,0.3,0.4,0.4
Sweden,0.3,-0.2,0.8,-0.3,0.3,0.3,0.4,0.5,0.5,0.6
Norway(mainland),0.0,0.3,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3
Poland(%yoy),0.8,1.4,1.4,4.4,3.5,3.9,4.1,3.6,3.5,2.9
Czechia,-0.4,0.3,0.4,0.3,0.5,0.5,0.7,0.8,0.7,0.8
Hungary(%yoy),-0.4,0.0,1.1,1.5,0.7,1.4,1.5,1.9,2.8,3.4
Turkey(%yoy),6.5,4.6,5.3,2.5,2.3,2.1,0.0,1.8,3.6,5.1
